cellid,block,locus,tau,dcfpar,ks,nL,J_bar,s2a_P,s2j_P,s2a_LP,s2j_LP,mupi_ind,s2pi_ind,s2piLP_ind,eps2_soft,lambda_soft,rho2_cf_soft,rho2_mc_soft,rho_rep_soft,rho2pi_soft,rho2_mcse_soft
120,A_dcf,3,.3,1,.13,16,.5364366810628639,-3.01449904339e-34,.004128413649227,7.23479770413e-33,.0041598761826502,.0999999997348261,.0023375160728379,.002696239345115,.0025934899674624,.9296086112633204,.7707764353806299,.7517676998775882,.7727813363499001,.7210083512041542,.0021473605613628
121,A_dcf,3,.3,2,.13,2,.5356287002134829,.0012456051026247,.0012456051026247,.0013140601352945,.0013140601352945,.0999999997348261,.0023375160728379,.002696239345115,.0026533087865132,.3471879986526504,.4477917612950175,.3998273617893535,.4267676816810556,.1734320023717088,.005833684307533
122,A_dcf,3,.3,2,.13,4,.5354650376322199,.0012657845606706,.0012657845606706,.0013197313844799,.0013197313844799,.0999999997348261,.0023375160728379,.002696239345115,.0026512697883379,.3434167731341508,.6208525406042417,.5843389620384762,.5950140042543639,.2455439854714856,.0032807174559998
123,A_dcf,3,.3,2,.13,8,.5354559098561352,.001261485222355,.001261485222355,.0013184233393524,.0013184233393524,.0999999997348261,.0023375160728379,.002696239345115,.002637240929938,.3441766559883555,.7662588282728533,.7418471395918353,.7549332326639466,.31331058202812,.0019025080326485
124,A_dcf,3,.3,2,.13,12,.535473870458419,.0012702819048972,.0012702819048972,.0013188130016941,.0013188130016941,.0999999997348261,.0023375160728379,.002696239345115,.0026657238253054,.3426249297985218,.8307963812809704,.8117042436051672,.8142910968962436,.3217872939875697,.0013361724007264
125,A_dcf,3,.3,2,.13,16,.5355854868192431,.0012618881710955,.0012618881710955,.0013158453302586,.0013158453302586,.0999999997348261,.0023375160728379,.002696239345115,.0026545292460593,.3442138003275982,.867342962565537,.8506937941491155,.8558504791870191,.3263253985092219,.0010268702620922
126,A_dcf,3,.3,3,.13,2,.5289803336648676,.0012715177349381,.0053745713516925,.0013184690185409,.0054771028641271,.0999999997348261,.0023375160728379,.002696239345115,.0026391265542326,.3283702268872234,.453082236738603,.4097980081323829,.4359419554590885,.1784406864789957,.0053966563310831
127,A_dcf,3,.3,3,.13,4,.5288751508993896,.0012665343960204,.0054000081849737,.0013189362771573,.0054721437183456,.0999999997348261,.0023375160728379,.002696239345115,.0026470914165748,.329053999657276,.62263700308336,.5859736059230743,.6123405272889096,.2321427856572222,.0033776314459162
128,A_dcf,3,.3,3,.13,8,.529060328710507,.0012710358384825,.0053349537745032,.0013172981260399,.005483131672563,.0999999997348261,.0023375160728379,.002696239345115,.002637559248703,.3285970414683236,.7682056558827542,.7414588218344896,.7527961456400506,.2793333476252721,.0019550123374756
129,A_dcf,3,.3,3,.13,12,.5290839833867899,.001260370236662,.0053521803148514,.0013214083779296,.0054670687500651,.0999999997348261,.0023375160728379,.002696239345115,.0026492147148141,.3303509941229162,.8313449931245284,.8132220739482378,.8176934209449946,.3158157880977968,.0013209131391684
130,A_dcf,3,.3,3,.13,16,.5290841545596858,.0012639259116487,.0053916416970686,.0013162966400737,.0054820937130413,.0999999997348261,.0023375160728379,.002696239345115,.0026374087091877,.3296782917851086,.8685679806721411,.8523467171456306,.8574832915988329,.2953298947052085,.0010636001683561
131,A_dcf,3,.6,1,.13,2,.5208821775083983,-3.01449904339e-34,.0142569878554638,7.23479770413e-33,.0147077240305087,.0999999997348261,.0023375160728379,.002696239345115,.0025961014111332,.7828732383260768,.3111363170260058,.2778756604931288,.3150360471599727,.2519500862025938,.0069248914210918
132,A_dcf,3,.6,1,.13,4,.5209158633727202,-3.01449904339e-34,.0142900011995826,7.23479770413e-33,.0147077463117116,.0999999997348261,.0023375160728379,.002696239345115,.00259415604136,.7825018388339149,.4748786484008826,.4452404166144048,.4708989183205475,.37748369915484,.0046160019306151
133,A_dcf,3,.6,1,.13,8,.5212718815208267,-3.01449904339e-34,.0141977461041397,7.23479770413e-33,.0146934810161443,.0999999997348261,.0023375160728379,.002696239345115,.0025806352711007,.7838337491003391,.6447110022698495,.6174198258363467,.6527685243589417,.5189763029884009,.00317912780202
134,A_dcf,3,.6,1,.13,12,.521207398002032,-3.01449904339e-34,.0143110410606547,7.23479770413e-33,.0146913817225193,.0999999997348261,.0023375160728379,.002696239345115,.0025859136757197,.7824418802570764,.7313265280614052,.7109814855756886,.7309788747631105,.5773682746352542,.002461133913779
135,A_dcf,3,.6,1,.13,16,.5209059369703896,-3.01449904339e-34,.0142950106964686,7.23479770413e-33,.0146976484436141,.0999999997348261,.0023375160728379,.002696239345115,.0025894355867946,.782435693007088,.7836617857581901,.7685555416267305,.77697353912898,.618624177782191,.0020149197112792
