cellid,block,se_t,sp_t,ks,nL,nbar,mupi_t,Jsep,A,s2pi_ind,s2piLP_ind,eps2_soft,rho2_cf_soft,rho2_cf_hard,rho2_mc_soft,rho2_mc_hard,rho2_mcse_soft,rho2_mcse_hard,soft_gain_mc
127,B_grid,.95,.95,.13,12,400,.1,.8989771719190925,.0505114140404537,.0023375160728379,.002696239345115,.0004262065685752,.8969227543266829,.8962494780835399,.8893446313998028,.8885973252940264,.0008862766492914,.0008929658482314,.0007473061057764
128,B_grid,.6,.6,3.6,12,25,.1,.1186104665586326,.4406947667208867,.0023375160728379,.002696239345115,.0033259825234446,.1049936555202731,.0700893188224706,.059460218037898,.0230435113092241,.0063296010558971,.006699434261601,.0364167067286739
129,B_grid,.6,.6,3.6,12,50,.1,.1186104665586326,.4406947667208867,.0023375160728379,.002696239345115,.001706608772327,.1844751883981963,.1273147829357635,.1473368631360553,.0873835495465804,.0062605550484466,.006348431621867,.059953313589475
130,B_grid,.6,.6,3.6,12,100,.1,.1186104665586326,.4406947667208867,.0023375160728379,.002696239345115,.0008491635374689,.3078856236179163,.2242687337905802,.2819618234015907,.1910263586104164,.0051465368808304,.0056286376924372,.0909354647911743
131,B_grid,.6,.6,3.6,12,200,.1,.1186104665586326,.4406947667208867,.0023375160728379,.002696239345115,.0004232407135774,.4611179905155753,.3607219463913013,.4344368663553936,.330740403867042,.0044692027442042,.0051265976134631,.1036964624883517
132,B_grid,.6,.6,3.6,12,400,.1,.1186104665586326,.4406947667208867,.0023375160728379,.002696239345115,.000210617319507,.6135570139370483,.5180815711528405,.5848448665193174,.4831683304519979,.0033646779299689,.0041451559318245,.1016765360673196
133,B_grid,.6,.7,3.6,12,25,.1,.1390247349922663,.6920073634552784,.0023375160728379,.002696239345115,.0028174924959594,.1589066495549369,.1561546019715069,.1379519490035935,.1154165833357827,.0060459973406356,.0062967635023909,.0225353656678108
134,B_grid,.6,.7,3.6,12,50,.1,.1390247349922663,.6920073634552784,.0023375160728379,.002696239345115,.0014497677948379,.2652360272024504,.2612811289194176,.2328891198257647,.2228820054310495,.0054179698536328,.0053701287449379,.0100071143947153
135,B_grid,.6,.7,3.6,12,100,.1,.1390247349922663,.6920073634552784,.0023375160728379,.002696239345115,.0007207012229869,.4122930191142117,.4075263690771581,.3774773823997157,.3745641898804033,.0045782171676735,.0046572137049661,.0029131925193124
136,B_grid,.6,.7,3.6,12,200,.1,.1390247349922663,.6920073634552784,.0023375160728379,.002696239345115,.0003591172911967,.5686613559604208,.564126506744189,.5396668173157746,.5330058729150641,.0036382064497585,.0037091184164516,.0066609444007105
137,B_grid,.6,.7,3.6,12,400,.1,.1390247349922663,.6920073634552784,.0023375160728379,.002696239345115,.0001788747447613,.7012340279237389,.6977886866614637,.6848125190247496,.6810851358848984,.0025567848565485,.0024900787299766,.0037273831398512
138,B_grid,.6,.8,3.6,12,25,.1,.0708656939829198,.8935825384131471,.0023375160728379,.002696239345115,.0012016663163216,.1038782894607488,.2813256177819672,.0601138396174687,.2478467979529612,.0066995012949586,.0052539417143927,-.1877329583354925
139,B_grid,.6,.8,3.6,12,50,.1,.0708656939829198,.8935825384131471,.0023375160728379,.002696239345115,.0006188381123306,.1821758442637473,.4233347047706314,.1424294710538082,.3974264714932186,.0060290778499653,.0043712840605422,-.2549970004394103
140,B_grid,.6,.8,3.6,12,100,.1,.0708656939829198,.8935825384131471,.0023375160728379,.002696239345115,.0003092694328006,.3038036407821949,.5784180429213175,.2841592907960589,.5627118202317278,.0051763325838468,.0034295895889911,-.2785525294356689
141,B_grid,.6,.8,3.6,12,200,.1,.0708656939829198,.8935825384131471,.0023375160728379,.002696239345115,.000152927608389,.4583492838741161,.7097256658094595,.4370936528384199,.6936574517200819,.0040578297518109,.0024976887789298,-.2565637988816619
142,B_grid,.6,.8,3.6,12,400,.1,.0708656939829198,.8935825384131471,.0023375160728379,.002696239345115,.0000762426294764,.6107384914985132,.7986544028637987,.5903862168287891,.7886332916636382,.0032199632941768,.0016622687996298,-.198247074834849
143,B_grid,.6,.9,3.6,12,25,.1,.0141989251606359,.9816202741394007,.0023375160728379,.002696239345115,.0002204824076359,.0249477468142665,.4075671134063392,-.0043789470617613,.3763461532868899,.0069036643544664,.0046623201314967,-.3807251003486511
144,B_grid,.6,.9,3.6,12,50,.1,.0141989251606359,.9816202741394007,.0023375160728379,.002696239345115,.0001138163812876,.0471205886959506,.5565250295434452,.005794319923935,.5340654551821978,.0066297654879724,.0036384817179286,-.5282711352582629
145,B_grid,.6,.9,3.6,12,100,.1,.0141989251606359,.9816202741394007,.0023375160728379,.002696239345115,.0000567204916689,.0898800199202678,.6918799033272802,.052123279557339,.6764341496822662,.0066068624681651,.0025515687009563,-.6243108701249273
146,B_grid,.6,.9,3.6,12,200,.1,.0141989251606359,.9816202741394007,.0023375160728379,.002696239345115,.0000281698604376,.1645449430154314,.7876759665243976,.1286341443799917,.7749803608234231,.0062815842502943,.0018968449278952,-.6463462164434315
147,B_grid,.6,.9,3.6,12,400,.1,.0141989251606359,.9816202741394007,.0023375160728379,.002696239345115,.0000139902253376,.2801122097437321,.8458399984856796,.2527536513903704,.8331807437270766,.0052759153299675,.0013693497575469,-.5804270923367063
148,B_grid,.6,.95,3.6,12,25,.1,.0136055156045882,.9832212154841131,.0023375160728379,.002696239345115,.0002005704021057,.0251736910675795,.4674716454712276,-.006520355094498,.4424236732649138,.0069040970678551,.0043334786264426,-.4489440283594117
149,B_grid,.6,.95,3.6,12,50,.1,.0136055156045882,.9832212154841131,.0023375160728379,.002696239345115,.0001033728543701,.0476083503304756,.6121068938330084,.0077554118129255,.5914094502302174,.0065674799014101,.003335396694859,-.5836540384172919
150,B_grid,.6,.95,3.6,12,100,.1,.0136055156045882,.9832212154841131,.0023375160728379,.002696239345115,.00005173247073,.0904217358891194,.7325195856008755,.0600494359651881,.719855252964079,.0063856098596161,.0023388359094933,-.659805816998891
151,B_grid,.6,.95,3.6,12,200,.1,.0136055156045882,.9832212154841131,.0023375160728379,.002696239345115,.0000256804286757,.1655102923197035,.8132261045809328,.1347084043609156,.8054045689889371,.0061602738972887,.0016253983349774,-.6706961646280214
152,B_grid,.6,.95,3.6,12,400,.1,.0136055156045882,.9832212154841131,.0023375160728379,.002696239345115,.0000127355787399,.2817798854896883,.8603245921982167,.2461350158754089,.8514274564609865,.0050790618404817,.0011800589064003,-.6052924405855776
153,B_grid,.7,.6,3.6,12,25,.1,.1390247349865694,.168967901552234,.0023375160728379,.002696239345115,.0020490805331564,.2051003269905936,.1432661245454548,.1667016025034876,.0933869743322502,.0058344497850866,.0066035459811566,.0733146281712375
154,B_grid,.7,.6,3.6,12,50,.1,.1390247349865694,.168967901552234,.0023375160728379,.002696239345115,.0010531793079607,.3290862377175655,.242700421755924,.2981024708303532,.2105269028527354,.0050317149315957,.0056567288245529,.0875755679776178
155,B_grid,.7,.6,3.6,12,100,.1,.1390247349865694,.168967901552234,.0023375160728379,.002696239345115,.0005245733182365,.4845664571296383,.3842571240167778,.4550626450915286,.3526974759359203,.0041105914584422,.0048024605974197,.1023651691556083
